codec,uncompressed_size,compressed_size,compression_ratio,compression_time_s,compression_max_RSS_kB,decompression_time_s,decompression_max_RSS_kB,filename,stream_id,test_set,compression_speed_MiB/s,decompression_speed_MiB/s,compression_rank,compression_speed_rank,decompression_speed_rank
rANS-1,209715200,965472,0.004603729248047,3.3,3624,4.18,5344,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.tagBuffer.cropped,tagBuffer,1,60.60606061,0.220274127,5,1,4
GABAC,209715200,513735,0.002449679374695,5.15,1848232,47.66,2128480,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.tagBuffer.cropped,tagBuffer,1,38.83495146,0.010279813,2,4,7
gzip,189519044,34179771,0.180350060229303,662.88,1792,2.88,1624,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.MappingFlag,MappingFlag,1,0.272657864,11.31818394,5,6,1
bzip2,189519044,28235719,0.148986183151072,31.5,9932,8.96,7052,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.MappingFlag,MappingFlag,1,5.73776015,3.00532143,4,4,7
xz,189519044,27775316,0.146556860006111,363.81,691460,3.94,67824,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.MappingFlag,MappingFlag,1,0.496796253,6.72299632,3,5,3
rANS-0,189519044,50266133,0.265229983958762,3.43,4356,4.24,4668,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.MappingFlag,MappingFlag,1,52.69371567,11.30601887,6,1,2
rANS-1,189519044,26434312,0.139481032840161,3.59,3996,4.29,5568,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.MappingFlag,MappingFlag,1,50.34524923,5.87639264,2,2,4
GABAC,189519044,26385091,0.139221317515722,7.18,901028,7.38,959248,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.MappingFlag,MappingFlag,1,25.17262461,3.409591277,1,3,6
gzip,94759522,31577280,0.333235957015486,70.46,1736,2.4,1632,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditLocation,EditLocation,1,1.282567732,12.54768372,6,5,1
bzip2,94759522,31259466,0.329882056602185,11.11,9852,5.84,6884,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditLocation,EditLocation,1,8.134088422,5.104683197,5,4,4
xz,94759522,28902816,0.305012260403762,131.64,685652,5.97,67920,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditLocation,EditLocation,1,0.686491358,4.617064203,4,6,5
rANS-0,94759522,26674906,0.281501061180954,2.15,4204,3.05,4420,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditLocation,EditLocation,1,42.03242901,8.340712375,2,1,3
rANS-1,94759522,26577768,0.280475961033235,3.43,4668,2.97,5836,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditLocation,EditLocation,1,26.34685783,8.534186777,1,2,2
GABAC,94759522,26814412,0.282973272068637,5.65,1485892,9,1512492,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditLocation,EditLocation,1,15.99464113,2.841357337,3,3,7
gzip,21983148,16151762,0.734733806095469,1.91,1784,0.48,1736,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_IS_SeqVec,EditACGT_IS_SeqVec,1,10.97631604,32.09066788,2,3,1
bzip2,21983148,16721224,0.760638285290169,3.03,9776,1.87,6660,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_IS_SeqVec,EditACGT_IS_SeqVec,1,6.919063908,8.527594582,3,4,5
xz,21983148,15437596,0.702246830162814,8.71,262236,1.58,24624,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_IS_SeqVec,EditACGT_IS_SeqVec,1,2.406976308,9.317999248,1,5,4
rANS-0,21983148,20598480,0.937012296873951,0.72,4816,0.65,5052,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_IS_SeqVec,EditACGT_IS_SeqVec,1,29.11772728,30.22190974,6,1,2
rANS-1,21983148,19116770,0.869610212331737,1.01,5872,0.89,6580,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_IS_SeqVec,EditACGT_IS_SeqVec,1,20.75719172,20.48446355,5,2,3
GABAC,21983148,16852694,0.76661877543653,89.29,453020,9.64,520260,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditACGT_IS_SeqVec,EditACGT_IS_SeqVec,1,0.234794083,1.667217991,4,6,6
gzip,17401796,10672097,0.613275606724731,3.95,1668,0.42,1648,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.pairedTlen,pairedTlen,1,4.201429343,24.2326305,5,5,1
bzip2,17401796,9322191,0.535702809066375,2.57,9804,1.23,6792,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.pairedTlen,pairedTlen,1,6.457449768,7.227913926,3,3,5
xz,17401796,8723864,0.50131974883512,11.38,225020,0.99,19624,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.pairedTlen,pairedTlen,1,1.458316863,8.403762663,1,6,4
rANS-0,17401796,11042264,0.634547376604116,0.48,4748,0.46,5116,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.pairedTlen,pairedTlen,1,34.5742623,22.89287733,6,1,2
rANS-1,17401796,9666537,0.555490766585242,0.56,5900,0.53,6168,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.pairedTlen,pairedTlen,1,29.63508197,17.39382654,4,2,3
GABAC,17401796,9140416,0.525257048180544,2.6,436724,1.87,412848,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.pairedTlen,pairedTlen,1,6.382940733,4.661486621,2,4,6
gzip,53709595,4522636,0.084205364050874,27.47,1780,0.78,1620,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditOpcodes,EditOpcodes,1,1.864632737,5.529643328,5,5,1
bzip2,53709595,3866571,0.071990321282445,2.16,9968,1.38,6764,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditOpcodes,EditOpcodes,1,23.71363949,2.672064823,2,3,4
xz,53709595,4069216,0.075763297042177,37.52,542980,1.16,55876,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditOpcodes,EditOpcodes,1,1.36517754,3.345436885,4,6,3
rANS-0,53709595,4626638,0.086141740595884,1.06,3816,1.12,4440,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditOpcodes,EditOpcodes,1,48.3221333,3.939558778,6,2,2
rANS-1,53709595,3960189,0.073733361795039,0.94,3740,1.47,5592,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditOpcodes,EditOpcodes,1,54.49091627,2.569204447,3,1,5
GABAC,53709595,3332211,0.062041260970223,2.81,951096,3.49,952660,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditOpcodes,EditOpcodes,1,18.22827804,0.910557034,1,4,7
gzip,87347840,54739002,0.626678370066163,13.77,1764,1.87,1636,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.readNamePair,readNamePair,1,6.049483776,27.9161392,6,5,1
bzip2,87347840,44683847,0.511562129069248,11.24,10820,5.63,6884,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.readNamePair,readNamePair,1,7.411155836,7.56906523,3,4,5
xz,87347840,45044440,0.515690370820847,97.87,678816,4.63,67724,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.readNamePair,readNamePair,1,0.851143268,9.278126463,4,6,4
rANS-0,87347840,53914265,0.617236385009635,2.05,4720,1.96,4728,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.readNamePair,readNamePair,1,40.63482517,26.2329846,5,1,2
rANS-1,87347840,43276270,0.495447511924737,2.37,5864,2.33,6156,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.readNamePair,readNamePair,1,35.1482665,17.71307606,1,2,3
GABAC,87347840,44011267,0.503862110385328,9.99,1737656,8.66,1780188,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.readNamePair,readNamePair,1,8.338477638,4.846699188,2,3,6
gzip,53559114,34225333,0.639019775420482,17.83,1732,1.1,1540,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditSeqpos,EditSeqpos,1,2.864719654,29.67256459,2,5,1
bzip2,53559114,34827307,0.65025920705111,7.43,10688,4.28,7048,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditSeqpos,EditSeqpos,1,6.874556047,7.760258924,4,3,5
xz,53559114,32614668,0.608947115891424,36.49,540244,3.17,55160,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditSeqpos,EditSeqpos,1,1.399779431,9.811915208,1,6,4
rANS-0,53559114,37596202,0.701957130956274,1.4,4712,1.5,5092,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditSeqpos,EditSeqpos,1,36.48425102,23.90302149,6,1,2
rANS-1,53559114,34417092,0.642600099770134,1.78,5340,1.68,6076,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditSeqpos,EditSeqpos,1,28.69547833,19.53731946,3,2,3
GABAC,53559114,35256019,0.658263671053259,14.22,949380,9.79,983168,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditSeqpos,EditSeqpos,1,3.591979707,3.434398347,5,4,7
gzip,94759522,5020442,0.052980870882823,11.4,1784,1.44,1644,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.MappingQual,MappingQual,1,7.927168629,3.324907356,5,5,2
bzip2,94759522,4625288,0.048810799193352,1.83,9928,1.74,6720,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.MappingQual,MappingQual,1,49.38236195,2.53506803,3,3,4
xz,94759522,4589004,0.048427893082871,22.89,685180,1.57,67792,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.MappingQual,MappingQual,1,3.948000103,2.787525639,2,6,3
rANS-0,94759522,7247167,0.076479564766061,1.5,4624,1.85,4928,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.MappingQual,MappingQual,1,60.24648158,3.735911911,6,1,1
rANS-1,94759522,4898479,0.051693791785906,1.67,4704,2.03,5516,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.MappingQual,MappingQual,1,54.11360621,2.301257937,4,2,5
GABAC,94759522,4236462,0.044707507072482,5.56,1795368,5.11,1799712,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.MappingQual,MappingQual,1,16.25354719,0.790646771,1,4,7
gzip,94759522,301801,0.003184914757168,1.68,1800,1.35,1604,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditSeqend,EditSeqend,1,53.79150141,0.213199898,4,3,1
bzip2,94759522,178972,0.001888696736989,1.97,9868,1.48,5944,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditSeqend,EditSeqend,1,45.87295552,0.115325,2,5,3
xz,94759522,249528,0.002633276263255,12.54,685424,4.35,67772,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditSeqend,EditSeqend,1,7.206516935,0.05470539,3,6,7
rANS-0,94759522,348126,0.003673783833566,1.84,2848,4.99,3404,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditSeqend,EditSeqend,1,49.11397955,0.066532831,5,4,5
rANS-1,94759522,349909,0.003692599884579,1.6,3096,2.81,4740,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditSeqend,EditSeqend,1,56.48107648,0.118754173,6,2,2
GABAC,94759522,178929,0.001888242956734,1.25,838036,2.16,1060328,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditSeqend,EditSeqend,1,72.29577789,0.078999996,1,1,4
gzip,94759522,24899936,0.262769750991357,98.24,1732,2.29,1628,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.TagASj,TagASj,1,0.919887239,10.36961984,6,5,2
bzip2,94759522,23988568,0.253152057900841,7.01,9968,5.06,7036,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.TagASj,TagASj,1,12.89154385,4.521201816,5,3,5
xz,94759522,21879992,0.230900193861256,131.08,685084,2.81,67752,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.TagASj,TagASj,1,0.689424186,7.42576029,3,6,4
rANS-0,94759522,23778218,0.25093222821449,1.81,4804,2.06,5060,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.TagASj,TagASj,1,49.92802341,11.00809505,4,1,1
rANS-1,94759522,21749687,0.229525081394986,2.2,4928,2.26,5828,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.TagASj,TagASj,1,41.07714653,9.177928266,2,2,3
GABAC,94759522,20843335,0.219960322298798,27.9,1795460,24.98,1848864,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.TagASj,TagASj,1,3.239058149,0.795746728,1,4,7
gzip,209715200,151624970,0.723004198074341,91.17,1760,4.14,1632,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.readNameContent.cropped,readNameContent,1,2.193704069,34.92773904,3,4,1
bzip2,209715200,146731220,0.699668979644775,33.27,10000,19.41,6996,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.readNameContent.cropped,readNameContent,1,6.011421701,7.209366096,2,3,6
xz,209715200,143661632,0.685032043457031,231.4,691412,17.67,67720,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.readNameContent.cropped,readNameContent,1,0.864304235,7.753616791,1,5,4
rANS-0,209715200,170648440,0.813715171813965,5.6,4752,5.61,5284,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.readNameContent.cropped,readNameContent,1,35.71428571,29.00945354,6,1,2
rANS-1,209715200,153456147,0.73173593044281,8.1,6032,7.39,6612,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.readNameContent.cropped,readNameContent,1,24.69135802,19.80340813,5,2,3
GABAC,209715200,152348181,0.726452736854553,333.07,3703276,25.34,4161024,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.readNameContent.cropped,readNameContent,1,0.600474375,5.733644332,4,6,7
