codec,uncompressed_size,compressed_size,compression_ratio,compression_time_s,compression_max_RSS_kB,decompression_time_s,decompression_max_RSS_kB,filename,stream_id,test_set,compression_speed_MiB/s,decompression_speed_MiB/s,compression_rank,compression_speed_rank,decompression_speed_rank
GABAC,209715200,82236508,0.392134227752685,21.57,1007528,15.75,1025668,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_QS.cropped,DS_QS,1,9.272137228,4.979482257,4,3,7
gzip,94759522,1853629,0.019561400911246,10.49,1800,1.3,1688,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_TL,DS_TL,1,8.614844839,1.35981413,5,5,3
bzip2,94759522,1465279,0.015463132032262,1.4,9856,1.39,6728,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_TL,DS_TL,1,64.54980169,1.005322985,2,2,4
xz,94759522,1695596,0.017893674052092,25.28,686836,1.18,67820,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_TL,DS_TL,1,3.574751676,1.370378268,3,6,2
rANS-0,94759522,4570683,0.048234551035409,1.33,3780,1.75,4556,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_TL,DS_TL,1,67.94715967,2.490824563,6,1,1
rANS-1,94759522,1722543,0.018178046529192,1.57,3616,1.85,5436,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_TL,DS_TL,1,57.56033272,0.88797028,4,3,5
GABAC,94759522,1366436,0.014420038969804,2.41,1485812,14.34,1487100,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_TL,DS_TL,1,37.49781011,0.090874123,1,4,6
gzip,1603192,135199,0.084331134386898,0.34,1784,0.07,1732,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_IN,DS_IN,1,4.496832455,1.841940199,3,4,5
bzip2,1603192,135669,0.084624299522453,0.56,8832,0.05,5976,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_IN,DS_IN,1,2.730219705,2.587680817,4,5,3
xz,1603192,117352,0.073198968058723,0.71,83984,0.03,5760,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_IN,DS_IN,1,2.153412725,3.730519613,1,6,2
rANS-0,1603192,449083,0.280118039511175,0.03,3156,0.03,3004,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_IN,DS_IN,1,50.96410116,14.2759641,6,1,1
rANS-1,1603192,425173,0.265204042934346,0.05,3288,0.17,4072,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_IN,DS_IN,1,30.57846069,2.385156295,5,2,4
GABAC,1603192,134090,0.083639389418111,0.12,21368,0.15,25956,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_IN,DS_IN,1,12.74102529,0.852521261,2,3,7
gzip,5321916,633019,0.118945695497637,1.8,1732,0.08,1620,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_NS,DS_NS,1,2.819652557,7.546174526,5,5,1
bzip2,5321916,605632,0.113799616529085,0.23,9456,0.15,6504,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_NS,DS_NS,1,22.0668461,3.850504557,4,3,2
xz,5321916,566128,0.106376725976133,1.96,117352,0.16,8464,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_NS,DS_NS,1,2.589476838,3.374385834,2,6,4
rANS-0,5321916,725739,0.136367992279472,0.17,3504,0.2,4012,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_NS,DS_NS,1,29.85514473,3.460593224,6,2,3
rANS-1,5321916,594641,0.111734382880151,0.16,3512,0.26,5156,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_NS,DS_NS,1,31.72109127,2.181130189,3,1,5
GABAC,5321916,506688,0.095207816132385,0.41,120636,0.8,114804,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_NS,DS_NS,1,12.37896245,0.604019165,1,4,7
gzip,209715200,406871,0.001940112113953,2.14,1700,2.93,1640,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_PGZ.cropped,DS_PGZ,1,93.45794393,0.132430861,4,1,3
bzip2,209715200,21540,0.000102710723877,67.36,9644,3.33,5612,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_PGZ.cropped,DS_PGZ,1,2.96912114,0.006168812,2,6,5
xz,209715200,30660,0.000146198272705,14.99,691228,2.47,67752,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_PGZ.cropped,DS_PGZ,1,13.34222815,0.011837917,3,5,4
rANS-0,209715200,101604000,0.484485626220703,4.06,4524,4.15,4812,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_PGZ.cropped,DS_PGZ,1,49.26108374,23.34870488,6,3,1
rANS-1,209715200,3308400,0.015775680541992,3.24,3788,4.22,5396,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_PGZ.cropped,DS_PGZ,1,61.72839506,0.747662585,5,2,2
GABAC,209715200,49,2.33650207519531E-07,12.21,1848168,13.79,2102928,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_PGZ.cropped,DS_PGZ,1,16.38001638,3.39E-06,1,4,6
gzip,209715200,32498612,0.15496545791626,36.9,1796,3.2,1624,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_XAZ.cropped,DS_XAZ,1,5.420054201,9.68534112,3,4,3
bzip2,209715200,28938049,0.137987370491028,26.86,10288,7.66,7044,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_XAZ.cropped,DS_XAZ,1,7.446016381,3.602803407,2,3,6
xz,209715200,23592532,0.112497959136963,140.65,691424,4.52,67820,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_XAZ.cropped,DS_XAZ,1,1.421969428,4.977785803,1,5,4
rANS-0,209715200,100059836,0.477122478485107,4.46,4480,4.86,4796,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_XAZ.cropped,DS_XAZ,1,44.84304933,19.6346699,6,1,1
rANS-1,209715200,71973007,0.343194041252136,5.2,4484,5.49,5868,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_XAZ.cropped,DS_XAZ,1,38.46153846,12.50251516,5,2,2
GABAC,209715200,37209932,0.177430782318115,293.08,2055880,11.7,2469724,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_XAZ.cropped,DS_XAZ,1,0.682407534,3.033004826,4,6,7
