encoded_length,current_encoded_length,best_encoded_length,encoded_ratio,current_encoded_ratio,best_encoded_ratio,encoding_time,total_encoding_time
401420.0,401420.0,401420.0,0.47742626070409133,0.47742626070409133,0.47742626070409133,0.05789804458618164,0.05789804458618164
367219.0,367219.0,367219.0,0.43674952426260705,0.43674952426260705,0.43674952426260705,0.061155080795288086,0.11905312538146973
368505.0,368505.0,367219.0,0.4382790199809705,0.4382790199809705,0.43674952426260705,0.06707453727722168,0.1861276626586914
369955.0,369955.0,367219.0,0.4400035680304472,0.4400035680304472,0.43674952426260705,0.07135581970214844,0.25748348236083984
377258.0,377258.0,367219.0,0.4486893434823977,0.4486893434823977,0.43674952426260705,0.06357717514038086,0.3210606575012207
377258.0,377258.0,367219.0,0.4486893434823977,0.4486893434823977,0.43674952426260705,0.06410336494445801,0.3851640224456787
293920.0,293920.0,293920.0,0.3495718363463368,0.3495718363463368,0.3495718363463368,0.06059432029724121,0.4457583427429199
293703.0,293703.0,293703.0,0.3493137488106565,0.3493137488106565,0.3493137488106565,0.05623626708984375,0.5019946098327637
282221.0,282221.0,282221.0,0.3356577069457659,0.3356577069457659,0.3356577069457659,0.05506277084350586,0.5570573806762695
280771.0,280771.0,280771.0,0.3339331588962893,0.3339331588962893,0.3339331588962893,0.0507965087890625,0.607853889465332
281096.0,281096.0,280771.0,0.3343196955280685,0.3343196955280685,0.3339331588962893,0.05374455451965332,0.6615984439849854
281461.0,281461.0,280771.0,0.33475380589914366,0.33475380589914366,0.3339331588962893,0.05424785614013672,0.7158463001251221
295324.0,295324.0,280771.0,0.3512416745956232,0.3512416745956232,0.3339331588962893,0.062247514724731445,0.7780938148498535
295544.0,295544.0,280771.0,0.3515033301617507,0.3515033301617507,0.3339331588962893,0.06648087501525879,0.8445746898651123
377188.0,377188.0,280771.0,0.4486060894386299,0.4486060894386299,0.3339331588962893,0.0761716365814209,0.9207463264465332
206714.0,206714.0,206714.0,0.24585394862036156,0.24585394862036156,0.24585394862036156,0.05713367462158203,0.9778800010681152
211350.0,211350.0,206714.0,0.2513677450047574,0.2513677450047574,0.24585394862036156,0.046239614486694336,1.0241196155548096
279019.0,279019.0,206714.0,0.33184942911512844,0.33184942911512844,0.24585394862036156,0.0455327033996582,1.0696523189544678
227776.0,227776.0,206714.0,0.27090390104662226,0.27090390104662226,0.24585394862036156,0.04663276672363281,1.1162850856781006
270116.0,270116.0,206714.0,0.32126070409134155,0.32126070409134155,0.24585394862036156,0.043786048889160156,1.1600711345672607
427000.0,427000.0,206714.0,0.5078496669838249,0.5078496669838249,0.24585394862036156,0.04949450492858887,1.2095656394958496
442436.0,442436.0,206714.0,0.5262083729781161,0.5262083729781161,0.24585394862036156,0.049391746520996094,1.2589573860168457
622689.0,622689.0,206714.0,0.7405911037107517,0.7405911037107517,0.24585394862036156,0.04906105995178223,1.308018445968628
624840.0,624840.0,206714.0,0.7431493815413891,0.7431493815413891,0.24585394862036156,0.05352377891540527,1.3615422248840332
624840.0,624840.0,206714.0,0.7431493815413891,0.7431493815413891,0.24585394862036156,0.053450822830200195,1.4149930477142334
614551.0,614551.0,206714.0,0.7309122264509991,0.7309122264509991,0.24585394862036156,0.059870004653930664,1.474863052368164
628412.0,628412.0,206714.0,0.7473977164605138,0.7473977164605138,0.24585394862036156,0.05520486831665039,1.5300679206848145
616261.0,616261.0,206714.0,0.7329460038058991,0.7329460038058991,0.24585394862036156,0.05472445487976074,1.5847923755645752
532923.0,532923.0,206714.0,0.6338284966698382,0.6338284966698382,0.24585394862036156,0.0517270565032959,1.636519432067871
530772.0,530772.0,206714.0,0.6312702188392008,0.6312702188392008,0.24585394862036156,0.04693031311035156,1.6834497451782227
532923.0,532923.0,206714.0,0.6338284966698382,0.6338284966698382,0.24585394862036156,0.05166983604431152,1.7351195812225342
532923.0,532923.0,206714.0,0.6338284966698382,0.6338284966698382,0.24585394862036156,0.0514681339263916,1.7865877151489258
522134.0,522134.0,206714.0,0.6209966698382493,0.6209966698382493,0.24585394862036156,0.05430865287780762,1.8408963680267334
519983.0,519983.0,206714.0,0.6184383920076117,0.6184383920076117,0.24585394862036156,0.04934954643249512,1.8902459144592285
218204.0,218204.0,206714.0,0.25951950523311135,0.25951950523311135,0.24585394862036156,0.04230618476867676,1.9325520992279053
209213.0,209213.0,206714.0,0.24882611798287346,0.24882611798287346,0.24585394862036156,0.046517133712768555,1.9790692329406738
208993.0,208993.0,206714.0,0.24856446241674596,0.24856446241674596,0.24585394862036156,0.04254961013793945,2.0216188430786133
198984.0,198984.0,198984.0,0.2366603235014272,0.2366603235014272,0.2366603235014272,0.05248713493347168,2.074105978012085
198619.0,198619.0,198619.0,0.23622621313035205,0.23622621313035205,0.23622621313035205,0.052393436431884766,2.1264994144439697
198294.0,198294.0,198294.0,0.2358396764985728,0.2358396764985728,0.2358396764985728,0.049027204513549805,2.1755266189575195
275492.0,275492.0,198294.0,0.32765461465271173,0.32765461465271173,0.2358396764985728,0.05453824996948242,2.230064868927002
275268.0,275268.0,198294.0,0.3273882017126546,0.3273882017126546,0.2358396764985728,0.054297685623168945,2.284362554550171
198273.0,198273.0,198273.0,0.23581470028544244,0.23581470028544244,0.23581470028544244,0.049160003662109375,2.3335225582122803
205499.0,205499.0,198273.0,0.24440889628924833,0.24440889628924833,0.23581470028544244,0.04549551010131836,2.3790180683135986
147354.0,147354.0,147354.0,0.1752545195052331,0.1752545195052331,0.1752545195052331,0.03975057601928711,2.4187686443328857
